,DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live)
,Realized Variance (5-minute),Realized Kernel,Return,Realized Variance (5-minute using 1-minute subsamples),Realized Variance (10-minute),Realized Variance (10-minute using 1-minute subsamples),Bipower Variation (5-minute) ,Bipower Variation (5-minute using 1-minute subsamples) ,Median Truncated Realized Variance,Realized Semivariance (5-minute),Realized Semivariance (5-minute using 1-minute subsamples),Number of Transactions,Time span betwen first and last observation (seconds),Close-to-Open Return,Opening Time (Local in Seconds),High-Low Range,High-Open Range,Opening Price,Closing Price
DateID,DJI2.rv,DJI2.rk,DJI2.r,DJI2.rv5ss,DJI2.rv10,DJI2.rv10ss,DJI2.bv5,DJI2.bv5ss,DJI2.medrv,DJI2.rs,DJI2.rs5ss,DJI2.nobs,DJI2.timespan,DJI2.rcto,DJI2.open,DJI2.highlow,DJI2.highopen,DJI2.openprice,DJI2.closeprice
20020614,0.000435996,0.000308156,-0.002999572,0.000368219,0.000495759,0.000318487,0.000309095,0.000322466,0.000205446,0.000273771,0.0002018,10796,23399.197,,34202.486,0.025322883,0,9498.92,9470.47
20020617,0.000105432,0.000101944,0.021813839,9.37E-05,0.000129704,9.37E-05,8.44E-05,7.58E-05,6.79E-05,2.07E-05,2.33E-05,10567,23399.46,,34202.213,-0.021963537,0.021963537,9476.5,9685.49
20020618,9.16E-05,9.10E-05,0.00111456,7.70E-05,8.55E-05,6.79E-05,7.98E-05,6.99E-05,5.52E-05,4.44E-05,3.31E-05,10526,23399,,34202.504,-0.008717637,0.003809136,9684.52,9695.32
20020619,0.000150091,0.000149842,-0.014718371,0.000112197,0.000129304,0.000113028,0.000120969,0.000104601,7.59E-05,0.000103427,6.74E-05,10679,23399.44,,34202.656,0.019730383,0.0032364,9701.87,9560.12
20020620,0.000135894,0.00014729,-0.013462396,0.000125632,0.000161592,0.000118685,0.000128731,0.000122316,0.000114032,7.65E-05,7.33E-05,10679,23398.663,,34201.727,0.015550913,0.001273029,9561.64,9433.78
20020621,0.000169911,0.000165318,-0.018118417,0.000143133,0.000235689,0.000144642,0.000180615,0.000146352,9.81E-05,0.000104947,8.00E-05,10700,23399.04,,34201.857,0.022507535,0,9430.66,9261.33
20020624,0.000271525,0.000273622,0.003391174,0.000299262,0.00031256,0.000308406,0.000253621,0.000278768,0.00017956,0.000105361,0.000114557,10891,23399.232,,34201.922,-0.031026397,0.012609746,9252.47,9283.9
20020625,0.000275858,0.000205684,-0.016507153,0.000210449,0.000237211,0.000209267,0.000216525,0.000180147,0.000136135,0.000115452,0.000116108,10644,23399.259,,34201.769,0.032550787,0.013639706,9285.56,9133.54
20020626,0.000782447,0.000640634,0.001896486,0.000564168,0.000727578,0.000508264,0.000621063,0.000573711,0.000330068,0.000493016,0.000274769,10831,23398.161,,34201.343,-0.025896779,0.0057573,9108.22,9125.51
20020627,0.00032373,0.000291689,0.01546715,0.000265866,0.000328066,0.000285008,0.000299582,0.000259328,0.000164452,0.000131985,0.000117905,10929,23397.888,,34202.198,-0.025060139,0.01546715,9122.12,9264.31
20020628,0.00011926,0.000115974,-0.001905738,0.000113805,0.000119167,0.000113713,0.00011534,0.000105866,7.27E-05,6.78E-05,5.68E-05,10718,23399.209,,34203.835,-0.01343627,0.00992755,9270.33,9252.68
20020701,0.00014774,0.000149088,-0.014171431,0.000151045,0.00013159,0.000150064,0.000169655,0.000148891,0.000101497,8.85E-05,8.89E-05,10712,23399.78,,34203.045,0.023892871,0.009463428,9239.25,9109.24
20020702,0.000235013,0.000228324,-0.010386595,0.000234352,0.000262596,0.000244183,0.000261173,0.000244938,0.000153459,0.000130222,0.000126712,10800,23399.018,,34202.726,0.019358228,0.003370499,9104.95,9010.87
20020703,0.000201354,0.000203602,0.005121009,0.000204399,0.000208207,0.00023069,0.000183291,0.000199053,0.000142083,9.56E-05,9.08E-05,10778,23398.846,,34201.864,0.019295551,0.00713828,9006.37,9052.61
20020704,,,,,,,,,,,,,,,,,,,
20020705,0.00015432,9.67E-05,0.034487373,9.80E-05,0.000167724,0.000118228,9.47E-05,8.52E-05,4.76E-05,1.18E-05,1.66E-05,5753,14408.421,,34202.192,-0.034524688,0.034524688,9061.54,9379.5
20020708,0.000146773,0.000168023,-0.010995951,0.000158999,0.000158347,0.000145898,0.000152891,0.00016058,0.000119888,8.53E-05,8.70E-05,10827,23398.068,,34202.065,0.018145095,0.003618774,9375.7,9273.17
20020709,0.00017365,0.000160652,-0.020248087,0.000147958,0.000156157,0.000135048,0.000176562,0.000150255,0.000123766,0.000115878,9.95E-05,10734,23396.998,,34201.915,0.025646891,0.004803303,9273.38,9087.5
20020710,0.000306039,0.000291243,-0.031881737,0.000301199,0.000358253,0.000320177,0.000308425,0.000316472,0.000187429,0.000212383,0.000203059,10790,23399.464,,34200.499,0.035755769,0.003827507,9098.16,8812.67
20020711,0.000536575,0.000450147,0.011138569,0.000535165,0.000588536,0.000527748,0.000557432,0.000540426,0.000312189,0.00022573,0.000230347,10119,21459.122,,35147.057,0.028524336,0.016649248,8708.28,8805.82
20020712,0.000449802,0.000441756,-0.014643342,0.000479352,0.000388702,0.000496371,0.000441132,0.000487186,0.000235443,0.000253483,0.000273705,10773,23398.456,,34202.398,0.0285359,0.004925767,8805.33,8677.33
20020715,0.000631518,0.000573799,-0.005148418,0.000623437,0.00090815,0.000727116,0.000676163,0.000652189,0.000378672,0.000324466,0.000277258,11026,23398.783,,34202.045,0.051608041,4.72E-05,8681.28,8636.7
20020716,0.000262377,0.000276768,-0.008607842,0.000293967,0.000263577,0.000277278,0.000243172,0.000289543,0.000204508,0.00013875,0.000167465,7458,16097.656,,41740.823,0.02289903,0.009415701,8546.36,8473.11
20020717,0.000868239,0.000627858,0.006477331,0.000617409,0.001089955,0.000532698,0.000662777,0.000528669,0.000394337,0.000225661,0.000231284,10895,23353.803,,34202.138,0.031480518,0.028372759,8479.07,8534.17
20020718,0.000287461,0.000302894,-0.016490084,0.000280141,0.000291406,0.00024176,0.000296792,0.000258697,0.000189476,0.000179561,0.000158436,10789,23398.46,,34202.986,0.025272989,0.008782905,8546.08,8406.31
20020719,0.000721875,0.000460862,-0.050611207,0.000552635,0.000854174,0.000496815,0.000500882,0.000429358,0.000226185,0.000585808,0.000412752,10776,23398.745,,34201.544,0.05300692,0,8400.91,7986.31
20020722,0.001306035,0.001048748,-0.029664472,0.001370999,0.001814082,0.001536021,0.001366274,0.00149446,0.000721005,0.000670575,0.000685955,11086,23399.662,,34201.846,0.048744198,0.010986163,8015.04,7780.77
20020723,0.000891449,0.000907263,-0.011572636,0.000977968,0.00078711,0.000890187,0.000977731,0.001002299,0.000597673,0.000453275,0.000478774,11099,23399.451,,34201.872,0.027058694,0.013846194,7785.55,7695.97
20020724,0.001371638,0.000991586,0.06304799,0.00123409,0.00180954,0.001448789,0.001416896,0.00117419,0.000667934,0.000515787,0.000388479,11014,23397.894,,34201.671,-0.085114405,0.063351622,7698.46,8199.46
20020725,0.001106414,0.000915824,-6.72E-05,0.001148775,0.001305014,0.001165161,0.001062637,0.001110728,0.000567259,0.000515811,0.000532293,10994,23398.211,,34201.957,0.044682917,0.014933342,8185.89,8185.34
20020726,0.000433106,0.00051146,0.008054035,0.000448671,0.000243968,0.000355909,0.000476248,0.000441436,0.000335734,0.00016292,0.00019489,10803,23398.566,,34202.279,0.018618697,0.009126247,8192.61,8258.86
20020729,0.000575672,0.000385662,0.052049359,0.000356991,0.000710753,0.000337263,0.000291959,0.000257519,0.000196094,5.56E-05,5.72E-05,10619,23393.796,,34202.055,-0.052065433,0.052065433,8267.99,8709.73
20020730,0.000495569,0.000466331,-0.003408801,0.000425116,0.000550925,0.000395681,0.000430969,0.0003969,0.000297051,0.000277151,0.000224497,10911,23399.834,,34201.991,-0.025616759,0.006277466,8707.03,8677.4
20020731,0.000334448,0.000329864,0.005353988,0.000324543,0.000295231,0.000294946,0.000345225,0.000362204,0.000216956,0.000149048,0.000141277,10848,23399.486,,34201.805,-0.022006687,0.005584328,8678.65,8725.24
20020801,0.000364133,0.0003693,-0.028203661,0.000365103,0.00045981,0.000347667,0.000381827,0.000379292,0.000246662,0.000260742,0.000244886,10814,23397.156,,34202.476,0.029456559,0.000117942,8732.58,8489.73
20020802,0.000322914,0.000354077,-0.023721945,0.00031746,0.00025936,0.000298928,0.000333364,0.000306457,0.000256765,0.000183202,0.000180175,10827,23399.094,,34203.441,0.036488964,0.000447874,8504.96,8305.58
20020805,0.000266277,0.000347992,-0.033430356,0.000281774,0.000237963,0.000231986,0.000273855,0.000284604,0.000279797,0.00017792,0.000186423,10850,23398.836,,34202.473,0.034489426,0,8312.92,8039.61
20020806,0.000640749,0.000509291,0.028226673,0.000411521,0.000822532,0.000427177,0.000427806,0.000362326,0.000299762,0.000137643,0.000132558,10770,23397.658,,34201.896,-0.04471125,0.04471125,8049.93,8280.39
20020807,0.000753547,0.000663604,0.020739108,0.000532837,0.000677213,0.000459907,0.000446678,0.000450133,0.000460128,0.000152842,0.000195227,10925,23399.689,,34202.269,0.0294455,0.021246323,8282.25,8455.81
20020808,0.000293307,0.00031271,0.029475136,0.00028688,0.000269091,0.000322136,0.000271858,0.000277397,0.0002622,0.0001026,0.000100849,10894,23396.601,,34201.992,-0.033468427,0.030412779,8456.29,8709.25
20020809,0.000386226,0.000367652,0.004505617,0.000303799,0.000389441,0.000303408,0.000275674,0.000262479,0.000239436,0.000229851,0.000148352,10840,23398.632,,34203.609,-0.025353545,0.010203599,8707.24,8746.56
20020812,0.000354418,0.000369412,-0.006450699,0.000217454,0.000369157,0.000153186,0.000181459,0.000175407,0.000185235,0.000275825,0.000120065,10685,23399.977,,34201.924,0.018461693,0,8741.92,8685.71
20020813,0.000346531,0.000338921,-0.024372273,0.000302826,0.000356957,0.000318481,0.000320516,0.000303945,0.000256166,0.000246214,0.000208928,10705,23398.929,,34201.845,0.031594896,0.007141195,8683.15,8474.08
20020814,0.000359994,0.000371293,0.031011434,0.000343564,0.000403292,0.000394568,0.000308756,0.00033132,0.00029212,0.000107202,0.000105142,10877,23395.612,,34202.204,-0.046227974,0.03124808,8479.14,8746.21
20020815,0.000401314,0.000440346,0.00807363,0.000407924,0.000323497,0.000355743,0.0003959,0.000382023,0.000389599,0.000175665,0.000201165,10890,23398.97,,34202.111,-0.018959497,0.01240637,8745.04,8815.93
20020816,7.02E-05,7.78E-05,-0.002567883,6.85E-05,7.16E-05,7.09E-05,6.27E-05,6.24E-05,6.41E-05,3.78E-05,3.79E-05,6582,14972.529,,43200.175,-0.01053124,0.003948728,8800.63,8778.06
20020819,0.00012425,0.000150521,0.023940122,0.000120525,0.0001379,0.000129061,0.000110396,0.000116054,0.000127491,3.59E-05,3.37E-05,10698,23398.628,,34206.27,-0.027072142,0.024410547,8777.09,8989.75
20020820,0.000195201,0.000210585,-0.013595591,0.000162761,0.000183002,0.000146119,0.00015665,0.000154521,0.00016274,0.000136317,0.000101154,10772,23399.572,,34203.52,0.018456713,0,8986.5,8865.15
20020821,0.00031594,0.000271722,0.010066307,0.000269849,0.000357629,0.000266347,0.000248437,0.000213185,0.000187817,0.000119947,0.000123817,10759,23397.401,,34202.437,-0.019689576,0.012114267,8866.14,8955.84
20020822,0.000162285,0.000188989,0.010510147,0.000167405,0.000180015,0.000148323,0.000147863,0.000149781,0.000134627,5.88E-05,7.31E-05,10718,23398.74,,34202.391,-0.016634336,0.012835217,8961.18,9055.86
20020823,0.000178691,0.000174356,-0.020734009,0.000130354,0.000164105,0.000115314,0.000122956,0.000116162,0.000116413,0.000132625,9.00E-05,10530,23397.931,,34202.196,0.024763239,0,9051.42,8865.68
20020826,0.000164439,0.00018329,0.005075038,0.000156804,0.00017459,0.000169968,0.000147016,0.000146003,0.000138334,6.94E-05,6.66E-05,10687,23398.412,,34202.222,-0.021859553,0.008483252,8873.93,8919.08
20020827,0.000283617,0.000273839,-0.011090157,0.000230175,0.000332113,0.000236263,0.000194992,0.000216348,0.000171355,0.000148881,0.000142607,10742,23399.761,,34201.644,0.026382402,0.011099386,8917.49,8819.14
20020828,0.000222857,0.000176732,-0.01531052,0.000145527,0.000209086,0.000147438,0.000152051,0.000128993,0.000104439,0.000147346,8.36E-05,10552,23397.614,,34202.192,0.020343961,0,8823.93,8689.86
20020829,0.000370247,0.000330701,-0.002549651,0.000268241,0.000346703,0.000219855,0.000239813,0.000239357,0.000171306,0.000241808,0.000132515,10838,23397.979,,34202.903,-0.021241224,0.005872932,8690.69,8668.56
20020830,0.000214751,0.000189859,-0.001161096,0.000164426,0.000136803,0.000152451,0.000154565,0.000134366,0.000118343,0.000111323,7.92E-05,10481,23399.578,,34203.521,-0.020398554,0.013059648,8669.26,8659.2
20020902,,,,,,,,,,,,,,,,,,,
20020903,0.000394467,0.00032051,-0.041481332,0.000266226,0.000388747,0.000216061,0.000148291,0.000202217,0.000187758,0.000350591,0.000202918,10673,23397.833,,34202.237,0.041840112,0,8659.27,8307.42
20020904,0.000128492,0.000155402,0.013252971,0.000149636,0.000119279,0.000124651,0.000124142,0.000131098,0.000121758,4.34E-05,4.67E-05,7277,23398.726,,34209.913,-0.020565064,0.017224194,8308.11,8418.95
20020905,0.000427753,0.000394468,-0.016435603,0.000296428,0.000461892,0.000245368,0.000183604,0.00021365,0.000254061,0.000330326,0.000192803,10759,23396.161,,34201.754,0.024405279,0,8420.2,8282.94
20020906,0.000347,0.000293174,0.015200063,0.000171984,0.000446492,0.000149127,0.000249107,0.000152758,0.000111029,6.48E-05,6.30E-05,10610,23397.05,,34202.536,-0.021232737,0.021232737,8296.46,8423.53
20020909,0.000210042,0.000209525,0.010978129,0.000168851,0.000230763,0.000162355,0.000131557,0.000143274,0.0001488,0.000115806,7.00E-05,10751,23398.777,,34202.07,-0.028692555,0.015510687,8425.88,8518.89
20020910,8.28E-05,8.32E-05,0.007364359,7.52E-05,6.55E-05,7.44E-05,8.47E-05,7.55E-05,5.92E-05,2.79E-05,2.51E-05,6476,14509.087,,43200.423,-0.011661892,0.007364359,8539.49,8602.61
20020911,0.000169909,0.000161283,-0.002688324,0.000189215,0.00024882,0.000232908,0.000150406,0.000161594,0.000108896,6.22E-05,7.43E-05,7915,18234.597,,39604.255,0.018077427,0.014135575,8604.27,8581.17
20020912,0.000100606,9.84E-05,-0.009367155,9.39E-05,8.74E-05,9.61E-05,9.07E-05,8.04E-05,7.16E-05,5.90E-05,5.78E-05,9849,22352.871,,35618.86,0.013973781,0.002195437,8458.27,8379.41
20020913,0.000247494,0.000216371,-0.008513424,0.000204023,0.000196075,0.000184163,0.000172167,0.000169141,0.000130934,0.000140914,0.000113664,10582,23398.151,,34202.678,0.015661455,4.18E-05,8377.68,8306.66
20020916,0.000115916,0.000134195,0.00733217,0.000119168,0.000129836,0.000128679,9.17E-05,0.000115105,9.58E-05,4.68E-05,4.88E-05,10452,23399.112,,34181.491,-0.015781998,0.00923522,8312.14,8373.31
20020917,0.000245417,0.000239222,-0.022033521,0.000238005,0.000285327,0.000232247,0.000204349,0.000196412,0.000159002,0.000126407,0.000149666,10669,23399.559,,34204.697,0.034768421,0.011347961,8386.35,8203.59
20020918,0.000288544,0.000236864,-0.003459562,0.00022967,0.000313967,0.000219574,0.000234777,0.000203391,0.000139021,0.000164465,0.000115025,10658,23398.806,,34202.184,-0.024706213,0.006107069,8203.07,8174.74
20020919,0.000520991,0.000355911,-0.028351855,0.000308156,0.000463988,0.00021974,0.000228296,0.000218696,0.000226943,0.000445255,0.000222476,10631,23388.945,,34201.296,0.028638968,0,8170.65,7942.25
20020920,0.000188034,0.000204917,0.004902429,0.000189601,0.000165577,0.000168121,0.000188601,0.000204918,0.000118782,9.27E-05,9.91E-05,10596,23397.068,,34202.285,-0.011895417,0.008898202,7945.93,7984.98
20020923,0.000376627,0.000340398,-0.01435467,0.000266896,0.000441521,0.000270131,0.000220504,0.000230546,0.000167547,0.000276561,0.000157573,10736,23399.125,,34204.169,0.024870999,0,7984.77,7870.97
20020924,0.000588765,0.000454272,-0.024493235,0.000435867,0.00065615,0.00039955,0.000392179,0.00036961,0.000291677,0.000378706,0.000247704,10772,23399.739,,34202.298,0.026410242,0,7871.23,7680.78
20020925,0.000428126,0.0003973,0.019885114,0.00028265,0.000354709,0.00022945,0.000262109,0.000229611,0.000199539,0.000108519,0.000116403,10791,23398.703,,34204.188,-0.028718177,0.026206948,7687.16,7841.55
20020926,0.000264156,0.000249202,0.018740714,0.000226167,0.000202842,0.000222521,0.000246155,0.000220629,0.000163263,9.26E-05,8.70E-05,10865,23399.618,,34201.292,-0.021148666,0.021148666,7844.62,7993.02
20020927,0.00029234,0.000277181,-0.038345909,0.00026445,0.000355451,0.000238349,0.00028741,0.000216967,0.000141626,0.000229924,0.000203186,10733,23398.417,,34201.33,0.038345909,0,7996.01,7695.2
20020930,0.000707954,0.000528272,-0.015341512,0.000503618,0.000736441,0.000525354,0.000518795,0.000430001,0.000333217,0.000479042,0.00029599,10911,23398.226,,34204.855,0.031405805,0,7698.81,7581.6
20021001,0.000411468,0.000363163,0.043995864,0.000304023,0.000303635,0.000311773,0.000340811,0.000282826,0.000233752,0.000100626,8.42E-05,10790,23398.874,,34202.202,-0.044755542,0.044755542,7593.04,7934.56
20021002,0.000341184,0.000379111,-0.022796583,0.000286063,0.000380761,0.000284715,0.00024356,0.00023293,0.000192441,0.000248667,0.000196162,9289,23398.666,,34202.208,0.028898374,0.0040979,7936.57,7757.69
20021003,0.000502506,0.000417531,-0.005588583,0.000481315,0.000642918,0.00060901,0.000473131,0.000470276,0.000314995,0.000232054,0.000218684,10961,23397.069,,34201.541,0.028176257,0.020427175,7753.46,7710.25
20021004,0.000838244,0.000660978,-0.025626969,0.000806945,0.00060966,0.000738242,0.000542675,0.000403519,0.000235932,0.000622228,0.000594163,6671,23399.251,,34201.576,0.040947948,0.008401855,7719.34,7524.03
20021007,0.000414559,0.000461549,-0.013476547,0.000441003,0.000427325,0.000411256,0.00043578,0.00045396,0.000354955,0.000234377,0.000249082,10962,23398.178,,34201.694,0.030932145,0.014359762,7528.68,7427.9
20021008,0.00081435,0.000674049,0.010147883,0.000685541,0.000863981,0.000663902,0.000754577,0.000667477,0.000422798,0.000331395,0.000299372,10936,23399.161,,34204.091,-0.038909887,0.026125541,7425.82,7501.56
20021009,0.000819048,0.000664174,-0.028819472,0.000595148,0.000754414,0.000503892,0.000550627,0.000542713,0.00049132,0.000589924,0.000364705,10988,23399.451,,34202.394,0.029419358,0,7499.96,7286.9
20021010,0.000528306,0.0004828,0.032819308,0.000556695,0.000681657,0.000584201,0.000583592,0.000562837,0.000312119,0.00019171,0.000200282,10802,23398.405,,34202.502,-0.049243328,0.03697432,7286.34,7529.44
20021011,0.000558885,0.000359284,0.039222039,0.000444239,0.000826605,0.000445746,0.000510551,0.000413698,0.000202762,0.000131095,0.000126389,10539,23398.939,,34202.916,-0.046676607,0.046676607,7540.74,7842.38
20021014,0.000379101,0.000348418,0.003069897,0.000251808,0.000322446,0.000225193,0.000313914,0.000225039,0.000265997,0.000232341,0.000116188,10835,23396.506,,34203.822,-0.021605059,0.008483132,7848.14,7872.27
20021015,0.000938542,0.000589317,0.045717877,0.000487263,0.001061777,0.000375836,0.00026496,0.000239464,0.000288712,5.95E-05,6.56E-05,10683,23399.678,,34202.326,-0.045717877,0.045717877,7883.23,8252
20021016,0.000261747,0.000231917,-0.023658084,0.00019283,0.000243531,0.000169064,0.000174976,0.000161961,0.00017589,0.000189087,0.000128535,10761,23399.787,,34204.673,0.026924758,0,8232.1,8039.63
20021017,0.001003198,0.000634237,0.02857162,0.000545832,0.001215471,0.000365462,0.000310635,0.000184181,0.000355574,7.44E-05,7.20E-05,10640,23398.646,,34203.327,-0.034231832,0.034231832,8038.31,8271.29
20021018,0.00033069,0.000252317,0.003559175,0.000216047,0.000256216,0.000200113,0.000188326,0.000173011,0.000129924,0.000215651,0.000112633,10799,23396.516,,34204.552,-0.022308618,0.005233803,8287.72,8317.27
20021021,0.000232053,0.00021479,0.025568265,0.000206399,0.00023672,0.000192455,0.000172794,0.00017992,0.000154959,0.000104893,6.36E-05,10845,23398.217,,34201.338,-0.037794955,0.026907538,8320.74,8536.23
20021022,7.54E-05,7.94E-05,0.000475844,6.91E-05,6.48E-05,6.93E-05,8.19E-05,6.67E-05,6.48E-05,3.47E-05,3.06E-05,6606,14652.449,,43200.203,0.010026317,0.00177202,8446.14,8450.16
20021023,0.00028554,0.000292773,0.005346404,0.00027768,0.000267648,0.000270763,0.000274858,0.000284019,0.000187538,0.000149226,0.000128971,10767,23399.759,,34203.175,-0.023795982,0.005386432,8448.49,8493.78
20021024,0.000259607,0.000265967,-0.02180539,0.000231949,0.000270754,0.00022542,0.000264579,0.000229694,0.000193607,0.000149424,0.00015463,10780,23398.837,,34205.718,0.033314161,0.007394276,8495.38,8312.14
20021025,0.000248395,0.000260465,0.014848077,0.00023619,0.000233419,0.000215856,0.000196402,0.000198736,0.000175851,0.000107697,9.22E-05,10690,23399.678,,34202.377,-0.022314011,0.015242461,8317.48,8441.9
20021028,0.00020267,0.000226691,-0.009360777,0.000187855,0.000241221,0.000192249,0.000136457,0.000160517,0.000150277,0.000109764,0.000119279,10726,23399.998,,34201.527,0.024376403,0.009656175,8448.98,8370.26
20021029,0.000295801,0.000277867,0.000596193,0.000284472,0.000344445,0.000297742,0.000200142,0.000203925,0.000213502,0.000181923,0.00015352,10824,23399.346,,34201.768,-0.02422942,0.00384689,8367.28,8372.27
20021030,0.000175334,0.000194164,0.006850031,0.000178608,0.000200874,0.000182659,0.000164821,0.000183056,0.000162671,7.77E-05,7.77E-05,10815,23399.238,,34202.489,-0.018110092,0.011336806,8363.95,8421.44
20021031,,,,,,,,,,,,,,,,,,,
20021101,0.000282466,0.000250576,0.015061735,0.000216614,0.000291451,0.000210088,0.000170003,0.000180875,0.000189028,0.000137767,7.96E-05,10779,23399.869,,34203.537,-0.027600899,0.017313086,8395.64,8523.05
20021104,0.000273298,0.000202363,0.004920049,0.000158579,0.000264247,0.000131604,9.52E-05,0.000106549,0.000110636,5.06E-05,6.68E-05,10440,23399.019,,34202.227,-0.024226543,0.024226543,8521.6,8563.63
20021105,9.82E-05,0.000109259,0.012355723,0.000105185,8.67E-05,9.53E-05,8.39E-05,0.000104829,0.000105515,3.09E-05,3.57E-05,10648,23399.187,,34202.571,-0.017045238,0.014200645,8568.76,8675.29
20021106,0.000365844,0.000311062,0.010415573,0.000311575,0.000279965,0.000321469,0.000330784,0.00029037,0.00021002,0.000170996,0.000155358,10610,23399.088,,34203.578,-0.024058305,0.014024464,8677.17,8768.02
20021107,0.000176636,0.000177876,-0.022038735,0.000153645,0.000217593,0.000144987,0.000148936,0.000125345,0.000120651,0.00012604,0.000103854,10645,23397.943,,34201.077,0.024987483,7.99E-06,8766.08,8575
20021108,0.000160552,0.000163,-0.00621559,0.000155637,0.000147798,0.000164589,0.000183621,0.000161167,0.000103883,9.11E-05,8.61E-05,10652,23399.659,,34203.963,0.019756047,0.00962306,8585.75,8532.55
20021111,0.000120441,0.000116914,-0.020937434,9.70E-05,0.000142672,9.40E-05,8.70E-05,7.63E-05,7.96E-05,9.75E-05,7.15E-05,10207,23399.769,,34204.186,0.022049436,0,8535.81,8358.95
20021112,0.000162766,0.00016525,0.003214985,0.000132708,0.000185258,0.000132343,0.000148725,0.000122009,0.000103761,6.23E-05,6.35E-05,10532,23399.741,,34203.908,-0.017548222,0.017548222,8356.73,8383.64
20021113,0.000323508,0.000303882,0.002033653,0.000315412,0.000243144,0.000302169,0.000335323,0.000276563,0.000180734,0.000141854,0.000133121,10623,23397.347,,34201.186,-0.02316327,0.013383276,8380.32,8397.38
20021114,0.000306304,0.000240541,0.016225935,0.000168491,0.000166273,0.000110005,0.000228368,0.000135827,0.000135796,7.83E-05,6.07E-05,10591,23398.969,,34201.039,-0.016647334,0.016647334,8403.69,8541.16
20021115,0.00014629,0.000137199,0.004972597,0.000116832,0.000115756,0.000109173,0.000138885,0.000114776,9.35E-05,6.91E-05,4.66E-05,10536,23398.067,,34203.618,-0.014421256,0.005619377,8535.64,8578.19
20021118,0.000127555,0.000118084,-0.010680626,0.000103419,9.39E-05,9.23E-05,0.000109666,0.000101685,8.25E-05,6.44E-05,6.66E-05,10548,23399.354,,34205.006,0.018153509,0.006533541,8579.8,8488.65
20021119,0.00013693,0.000134967,-0.000589607,0.000113938,0.000144695,0.000111501,0.000120476,0.000106352,9.99E-05,7.47E-05,5.58E-05,10631,23397.065,,34202.351,-0.016679353,0.007504721,8482.73,8477.73
20021120,,,,,,,,,,,,,,,,,,,
20021121,0.000134135,0.000110588,0.025381542,0.000116821,0.00017543,0.000119706,0.000117129,0.000113322,7.82E-05,3.41E-05,3.65E-05,10680,23399.591,,34203.329,-0.026426523,0.026426523,8625.48,8847.21
20021122,9.05E-05,8.86E-05,-0.004180666,8.00E-05,7.51E-05,8.14E-05,8.76E-05,7.91E-05,6.15E-05,5.22E-05,4.16E-05,10558,23399.646,,34203.501,0.008973367,0.004279255,8842.41,8805.52
20021125,8.15E-05,9.81E-05,0.005196035,8.65E-05,8.67E-05,8.99E-05,8.13E-05,8.08E-05,8.11E-05,4.01E-05,3.93E-05,10764,23399.418,,34204.29,-0.012783175,0.007224292,8804.97,8850.84
20021126,0.00012605,0.000117881,-0.018637989,9.19E-05,0.000138561,9.40E-05,8.50E-05,8.25E-05,7.24E-05,0.000101105,6.40E-05,10658,23399.339,,34204.32,0.01987895,2.37E-05,8844.12,8680.81
20021127,0.000163174,0.000143811,0.028479974,0.000105811,0.000172915,0.000102025,0.000105583,8.62E-05,7.89E-05,1.90E-05,1.65E-05,10600,23398.406,,34206.632,-0.029615986,0.029615986,8678.96,8929.69
20021128,,,,,,,,,,,,,,,,,,,
20021129,4.41E-05,4.38E-05,-0.00421543,4.62E-05,4.63E-05,4.00E-05,4.20E-05,4.33E-05,3.65E-05,3.05E-05,3.03E-05,5722,14298.255,,34201.936,0.006618257,0.001863118,8933.67,8896.09
20021202,0.000308835,0.000230215,-0.00570763,0.000210416,0.000315289,0.000197604,0.000200674,0.000187768,0.000134388,0.000114043,0.000119588,10878,23399.202,,34205.13,0.028733499,0.01564921,8902.95,8852.28
20021203,0.000159704,0.000153661,-0.014120005,0.000138799,0.000132259,0.000105643,0.000110533,0.000125084,0.00012074,0.000107025,8.72E-05,10786,23399.269,,34202.579,0.015831459,0,8861.13,8736.89
20021204,0.0002187,0.000201956,0.000368597,0.000190891,0.000201925,0.00016555,0.000180368,0.000170751,0.000127903,0.000108195,8.42E-05,10882,23399.583,,34203.581,-0.018098466,0.008807908,8734.22,8737.44
20021205,0.000107288,0.000127213,-0.013527137,0.000110411,9.92E-05,0.000108831,0.000111384,0.000106748,0.000110224,7.03E-05,7.03E-05,10826,23399.741,,34202.211,0.018331736,0.003133293,8740.66,8623.22
20021206,0.000321385,0.000273552,0.002636641,0.000195964,0.000338951,0.000165234,0.000195374,0.000161019,0.000165532,0.000214131,9.79E-05,10847,23398.987,,34201.238,-0.020608341,0.006729564,8620.82,8643.58
20021209,0.000140295,0.000159698,-0.01986635,0.000119604,0.00012711,8.29E-05,9.39E-05,0.000108878,0.000109679,0.000112765,8.37E-05,10744,23397.66,,34201.926,0.019922996,0,8643.99,8473.96
20021210,9.11E-05,0.00011076,0.011519951,8.19E-05,0.000111691,9.08E-05,7.12E-05,7.78E-05,9.45E-05,3.24E-05,3.33E-05,10706,23398.401,,34201.995,-0.012805949,0.01234441,8473.61,8571.79
