,DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live)
,Realized Variance (5-minute),Realized Kernel,Return,Realized Variance (5-minute using 1-minute subsamples),Realized Variance (10-minute),Realized Variance (10-minute using 1-minute subsamples),Bipower Variation (5-minute) ,Bipower Variation (5-minute using 1-minute subsamples) ,Median Truncated Realized Variance,Realized Semivariance (5-minute),Realized Semivariance (5-minute using 1-minute subsamples),Number of Transactions,Time span betwen first and last observation (seconds),Close-to-Open Return,Opening Time (Local in Seconds),High-Low Range,High-Open Range,Opening Price,Closing Price
DateID,DJI2.rv,DJI2.rk,DJI2.r,DJI2.rv5ss,DJI2.rv10,DJI2.rv10ss,DJI2.bv5,DJI2.bv5ss,DJI2.medrv,DJI2.rs,DJI2.rs5ss,DJI2.nobs,DJI2.timespan,DJI2.rcto,DJI2.open,DJI2.highlow,DJI2.highopen,DJI2.openprice,DJI2.closeprice
20000204,0.000100799,9.04E-05,-0.003724799,8.86E-05,0.00010602,8.68E-05,7.51E-05,7.74E-05,6.85E-05,4.91E-05,4.94E-05,11020,23398.56,,34212.955,0.013264441,0.006765467,11014.37,10973.42
20000207,9.17E-05,8.07E-05,-0.005375553,8.67E-05,8.72E-05,7.08E-05,8.23E-05,8.28E-05,5.51E-05,5.24E-05,4.69E-05,10582,23399.34,,34210.921,0.011404746,0.000453118,10965.97,10907.18
20000208,8.34E-05,7.30E-05,0.004482677,6.75E-05,0.000103377,6.97E-05,6.53E-05,6.31E-05,4.07E-05,2.43E-05,2.97E-05,10802,23398.826,,34202.743,-0.01080778,0.01080778,10904.26,10953.25
20000209,9.72E-05,0.000101571,-0.02237038,0.00010274,0.000111817,9.84E-05,9.31E-05,8.86E-05,6.47E-05,7.06E-05,7.18E-05,10877,23397.99,,34209.655,0.022573079,0,10948.82,10706.61
20000210,0.000106199,0.00011244,-0.004883882,0.000103013,8.22E-05,9.01E-05,0.000111559,0.000104439,8.34E-05,5.58E-05,5.40E-05,10956,23395.346,,34204.169,0.012354541,0.003762803,10697.92,10645.8
20000211,0.000148073,0.000156632,-0.01953605,0.000158047,0.000113038,0.000148973,0.000174314,0.000163708,9.25E-05,9.13E-05,9.50E-05,11010,23398.926,,34203.892,0.026803968,0,10638.64,10432.82
20000214,0.000106975,0.000113625,0.008330136,9.74E-05,9.83E-05,8.34E-05,0.000109861,9.83E-05,6.47E-05,3.94E-05,3.65E-05,10870,23399.201,,34206.746,-0.011208663,0.011186615,10431.65,10518.91
20000215,0.000127027,0.000122803,0.01899498,0.000131523,0.000147682,0.00013485,0.000128947,0.000114434,8.29E-05,4.35E-05,4.52E-05,11040,23398.438,,34204.117,-0.025154742,0.022770758,10520.15,10721.89
20000216,9.67E-05,0.000103378,-0.013171915,0.0001039,9.70E-05,0.000101443,8.43E-05,9.60E-05,7.24E-05,6.20E-05,6.57E-05,11063,23399.654,,34205.599,0.016749143,0.002696183,10711.82,10571.65
20000217,0.000244637,0.000155294,-0.005358956,0.00020207,0.000297,0.000210778,0.000131947,0.000160796,0.000100584,0.000128011,0.000115865,10996,23399.561,,34206.306,0.020508641,0.009962738,10565.76,10509.29
20000218,0.000174738,0.00016384,-0.027006342,0.000185775,0.000140157,0.000163533,0.000175973,0.000181662,9.40E-05,0.00012509,0.000123619,10998,23398.678,,34207.474,0.030520818,0.000235835,10514.57,10234.41
20000221,,,,,,,,,,,,,,,,,,,
20000222,0.000221715,0.000195087,0.007892582,0.000220945,0.000236639,0.000244467,0.000233057,0.000208766,0.000134073,9.75E-05,9.66E-05,11131,23398.653,,34212.949,-0.022705745,0.011379425,10219.83,10300.81
20000223,0.000159266,0.000163784,-0.00536951,0.000163775,0.000176474,0.000164489,0.000158366,0.000162982,9.60E-05,7.87E-05,8.63E-05,10982,23399.506,,34202.669,-0.016887719,0.00418944,10294.82,10239.69
20000224,0.000361773,0.000304482,-0.013969741,0.000375572,0.000400793,0.000425854,0.000352888,0.000386605,0.000199084,0.000206893,0.000205087,11272,23398.979,,34202.459,0.030117054,0.000544642,10242.48,10100.39
20000225,0.000300198,0.000262828,-0.021568253,0.000278016,0.000210534,0.000263783,0.000261672,0.000269047,0.000159805,0.000187711,0.000164505,11010,23397.888,,34207.907,0.029669948,0.004111144,10090.77,9875.46
20000228,0.000334402,0.000284468,0.019115626,0.000320647,0.000282347,0.00030876,0.000292433,0.000280508,0.00017932,0.000127136,0.000118374,11172,23399.598,,34203.079,-0.031339975,0.030142871,9854.66,10044.85
